playerID,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,adapt_score
adlemti01,13,0,0,0,0,0,0,0,0,0.0
adlesda01,0,90,0,0,0,0,0,0,0,0.0
adriaeh01,0,0,1,52,11,46,0,0,0,1.265
afenitr01,0,41,0,0,0,0,0,0,0,0.0
affelje01,774,0,0,0,0,0,0,0,0,0.0
agbaybe01,0,0,0,0,0,0,282,10,66,0.6528
ageeto01,0,0,0,0,0,0,67,931,129,0.5600999999999998
agganha01,0,0,139,0,0,0,0,0,0,0.0
aglerjo01,0,0,136,4,0,0,51,11,17,1.151
agnewsa01,0,553,0,0,0,0,0,0,0,0.0
agostju01,543,0,0,0,0,0,0,0,0,0.0
aguaylu01,0,0,0,147,97,259,0,0,0,1.3265
aguilch01,0,0,0,0,0,0,54,3,52,1.0837
aguilje01,0,0,23,0,1,0,0,0,0,0.13790000000000013
aguilri01,732,0,0,0,0,0,0,0,0,0.0
aguirha01,447,0,0,0,0,0,0,0,0,0.0
ahearch01,0,1,0,0,0,0,0,0,0,0.0
ahearpa01,4,0,0,0,0,0,0,0,0,0.0
ahmedni01,0,0,0,2,0,235,0,0,0,0.02839999999999998
aikenwi01,0,0,548,0,0,0,0,0,0,0.0
aingeda01,0,0,0,89,80,6,6,25,2,1.4539
ainsmed01,1,987,2,1,1,0,2,0,1,0.027099999999999902
ainswku01,29,0,0,0,0,0,0,0,0,0.0
aitchra01,34,0,0,0,0,0,0,0,0,0.0
aitonge01,0,0,0,0,0,0,6,1,0,0.4464999999999999
akejo01,0,0,0,0,9,1,2,0,1,0.9783
akerfda01,125,0,0,0,0,0,0,0,0,0.0
akerja01,495,0,0,0,0,0,0,0,0,0.0
akersbi01,0,0,0,7,47,99,0,0,0,0.9773999999999998
akersje01,5,0,0,0,0,0,0,0,0,0.0
albagi01,3,0,0,0,0,0,0,0,0,0.0
albaljo01,66,0,0,0,0,0,0,0,0,0.0
albanjo01,6,0,0,0,0,0,0,0,0,0.0
alberan01,17,0,0,0,0,0,0,0,0,0.0
albercy01,4,0,0,0,0,0,0,0,0,0.0
albergu01,0,0,0,0,61,59,0,0,0,1.0153
alberha01,0,0,4,30,18,17,0,0,0,1.5417
alberjo01,27,0,0,0,0,0,0,0,0,0.0
alberma01,452,0,0,0,0,0,0,0,0,0.0
albosed01,19,0,0,0,0,0,0,0,0,0.0
albreed01,3,0,0,0,0,0,0,0,0,0.0
albrija01,0,0,0,0,0,33,0,0,0,0.0
albural01,243,0,0,0,0,0,0,0,0,0.0
alburvi01,101,0,0,0,0,0,0,0,0,0.0
alcalsa01,68,0,0,0,0,0,0,0,0,0.0
alcanar01,0,0,0,36,2,2,0,52,1,1.111
alcanis01,0,0,11,0,0,0,9,0,14,1.4635
alcanra01,5,0,0,0,0,0,0,0,0,0.0
alcarlu01,0,0,0,87,15,2,0,0,0,0.5150999999999999
alcocsc01,0,0,0,1,48,0,0,0,0,0.06820000000000004
alderda01,16,0,0,0,0,0,0,0,0,0.0
aldremi01,1,0,286,0,0,0,278,24,135,1.4798
aldresc01,229,0,0,0,0,0,0,0,0,0.0
aldrico01,0,0,0,0,0,0,2,1,6,1.0
aldrija01,62,0,0,0,0,0,0,0,0,0.0
aldrivi01,248,0,0,0,0,0,0,0,0,0.0
alenoch01,0,0,5,1,84,3,2,0,0,0.38569999999999993
alexabo01,9,0,0,0,0,0,0,0,0,0.0
alexada01,0,0,616,0,0,0,4,0,0,0.021700000000000053
alexado01,561,0,0,0,0,0,0,0,0,0.0
alexaga01,0,229,10,0,0,0,12,0,8,0.3853
alexage01,36,0,0,0,0,0,0,0,0,0.0
alexahu01,0,0,0,0,0,0,1,0,3,0.7189999999999999
alexama01,0,0,0,10,22,1,26,41,32,1.9139
alexama02,1,0,1,190,130,205,4,0,2,1.4958
alexani01,0,18,0,0,0,2,0,3,0,0.6924000000000001
alexape01,696,0,0,0,0,0,1,0,0,0.0047999999999999154
alexasc01,21,0,0,0,0,0,0,0,0,0.0
alexawa01,0,152,0,0,0,0,0,0,0,0.0
alfarja01,0,0,0,0,0,3,0,0,0,0.0
alfarjo01,0,4,0,0,0,0,0,0,0,0.0
alfonan01,592,0,0,0,0,0,0,0,0,0.0
alfoned01,0,0,2,549,889,34,0,0,0,1.008
alfonel01,0,164,0,0,0,0,0,0,0,0.0
alicelu01,0,0,2,997,109,8,10,0,1,0.3742000000000001
allanan01,0,501,4,0,0,0,0,0,0,0.02660000000000018
allarbr01,19,0,0,0,0,0,0,0,0,0.0
allenbe01,0,0,0,913,113,0,0,0,0,0.35130000000000017
allenbo01,0,0,0,1,0,605,0,1,0,0.011099999999999888
allenbo02,0,0,0,0,0,0,0,6,0,0.0
allenbo03,3,0,0,0,0,0,0,0,0,0.0
allenbo04,204,0,0,0,0,0,0,0,0,0.0
allenbr01,0,0,90,0,0,0,17,0,0,0.4912000000000001
allench01,0,0,0,0,0,0,173,1,34,0.5200999999999998
allenco01,317,0,0,0,0,0,0,0,0,0.0
allendi01,0,0,808,4,652,3,256,1,0,1.3355
allendu01,0,0,18,0,1,0,3,0,1,0.7006999999999999
allenet01,0,0,0,0,0,0,301,728,109,1.0456
allenfr01,180,0,0,0,0,0,0,0,0,0.0
allenga01,0,399,0,0,8,0,0,0,0,0.06579999999999986
allenha01,0,0,0,0,5,9,4,3,2,1.7922
allenha02,0,1,12,20,38,0,140,96,74,1.8144
allenhe01,0,1,0,0,0,0,0,0,0,0.0
allenho01,0,0,0,0,0,0,1,1,0,1.0157
allenja01,0,0,0,0,22,0,0,2,3,0.5962999999999998
allenja02,0,0,0,0,82,0,0,0,0,0.0
allenje01,0,0,0,0,0,0,15,273,42,0.5527000000000002
allenjo01,1,0,0,0,0,0,0,0,0,0.0
allenjo02,352,0,0,0,0,0,0,0,0,0.0
allenki01,0,0,0,17,0,1,2,2,2,0.9546000000000001
allenll01,159,0,0,0,0,0,0,0,0,0.0
allenlu01,0,0,0,0,0,0,0,0,3,0.0
allenmy01,5,0,0,1,3,2,106,3,41,1.0152
allenne01,434,0,0,0,0,0,0,0,0,0.0
allenni01,0,188,0,0,0,0,0,0,0,0.0
allenpe01,0,1,0,0,0,0,0,0,0,0.0
allenro01,0,0,5,0,0,0,0,0,0,0.0
allenro02,0,0,0,0,0,0,2,0,2,1.0157
allensl01,0,12,1,0,0,0,0,0,0,0.2501000000000002
alleyge01,0,0,0,131,33,974,0,0,0,0.4632999999999998
alliebo01,0,21,0,0,0,0,0,0,0,0.0
alliega01,0,0,0,0,19,95,0,0,0,0.5125000000000002
allisan01,0,0,22,0,0,0,0,0,1,0.14380000000000015
allisar01,0,3,35,4,0,0,8,56,68,1.6181
