Park,Park Type,State,Year,Recreation Visitors,Non-Recreation Visitors
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1934,"175,000",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1935,"89,355",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1936,"149,665",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1937,"111,840",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1938,"121,144",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1939,"112,626",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1940,"136,945",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1941,"110,830",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1942,"59,210",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1943,"13,520",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1944,"13,060",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1945,"23,271",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1946,"51,056",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1947,"60,323",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1948,"75,150",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1949,"89,793",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1950,"136,487",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1951,"169,999",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1952,"239,371",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1953,"260,764",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1954,"284,500",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1955,"235,000",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1956,"287,800",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1957,"287,500",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1958,"186,900",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1959,"353,700",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1960,"331,300",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1961,"297,500",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1962,"315,800",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1963,"293,400",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1964,"284,600",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1965,"371,600",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1966,"397,200",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1967,"403,700",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1968,"397,000",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1969,"555,300",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1970,"486,600",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1971,"489,300",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1972,"557,439",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1973,"522,800",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1974,"413,900",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1975,"406,500",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1976,"351,800",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1977,"396,600",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1978,"355,687",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1979,"271,231",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1980,"239,074",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1981,"252,245",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1982,"318,707",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1983,"256,126",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1984,"258,023",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1985,"264,905",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1986,"280,620",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1987,"292,825",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1988,"288,324",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1989,"309,823",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1990,"307,669",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1991,"316,945",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1992,"302,739",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1993,"293,710",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1994,"279,542",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1995,"268,509",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1996,"249,344",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1997,"262,889",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1998,"250,842",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1999,"251,204",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2000,"236,180",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2001,"229,675",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2002,"250,772",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2003,"211,650",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2004,"201,828",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2005,"190,809",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2006,"200,054",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2007,"202,950",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2008,"200,404",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2009,"221,111",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2010,"177,122",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2011,"163,568",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2012,"169,515",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2013,"163,928",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2014,"241,264",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2015,"148,605",0
Abraham Lincoln Birthplace,National Historical Park,Kentucky,2016,"252,495",0
Acadia,National Park,Maine,1919,"64,000",
Acadia,National Park,Maine,1920,"66,500",
Acadia,National Park,Maine,1921,"69,836",
Acadia,National Park,Maine,1922,"73,779",
Acadia,National Park,Maine,1923,"64,200",
Acadia,National Park,Maine,1924,"71,758",
Acadia,National Park,Maine,1925,"73,673",
Acadia,National Park,Maine,1926,"101,256",
Acadia,National Park,Maine,1927,"123,699",
Acadia,National Park,Maine,1928,"134,897",
Acadia,National Park,Maine,1929,"149,554",
Acadia,National Park,Maine,1930,"154,734",
Acadia,National Park,Maine,1931,"162,238",
Acadia,National Park,Maine,1932,"237,596",
Acadia,National Park,Maine,1933,"262,712",
Acadia,National Park,Maine,1934,"275,956",
Acadia,National Park,Maine,1935,"316,114",
Acadia,National Park,Maine,1936,"340,393",
Acadia,National Park,Maine,1937,"383,036",
Acadia,National Park,Maine,1938,"394,319",
Acadia,National Park,Maine,1939,"396,468",
Acadia,National Park,Maine,1940,"382,084",
Acadia,National Park,Maine,1941,"409,961",
Acadia,National Park,Maine,1942,"36,544",
Acadia,National Park,Maine,1943,"8,246",
Acadia,National Park,Maine,1944,"12,916",
Acadia,National Park,Maine,1945,"20,200",
Acadia,National Park,Maine,1946,"382,390",
Acadia,National Park,Maine,1947,"434,069",
Acadia,National Park,Maine,1948,"420,846",
Acadia,National Park,Maine,1949,"438,584",
Acadia,National Park,Maine,1950,"485,220",
Acadia,National Park,Maine,1951,"518,556",
Acadia,National Park,Maine,1952,"549,075",
Acadia,National Park,Maine,1953,"556,195",
Acadia,National Park,Maine,1954,"553,800",
Acadia,National Park,Maine,1955,"655,000",
Acadia,National Park,Maine,1956,"735,500",
Acadia,National Park,Maine,1957,"858,900",
Acadia,National Park,Maine,1958,"816,500",
Acadia,National Park,Maine,1959,"755,900",
Acadia,National Park,Maine,1960,"1,638,200",
Acadia,National Park,Maine,1961,"1,574,600",
Acadia,National Park,Maine,1962,"1,601,500",
Acadia,National Park,Maine,1963,"1,864,800",
Acadia,National Park,Maine,1964,"2,011,600",
Acadia,National Park,Maine,1965,"1,733,600",
Acadia,National Park,Maine,1966,"2,158,400",
Acadia,National Park,Maine,1967,"2,102,000",
Acadia,National Park,Maine,1968,"2,303,300",
Acadia,National Park,Maine,1969,"2,489,800",
Acadia,National Park,Maine,1970,"2,776,300",
Acadia,National Park,Maine,1971,"2,101,100",
Acadia,National Park,Maine,1972,"2,285,881",
Acadia,National Park,Maine,1973,"2,394,000",
Acadia,National Park,Maine,1974,"2,335,800",
Acadia,National Park,Maine,1975,"2,380,500",
Acadia,National Park,Maine,1976,"2,353,300",
Acadia,National Park,Maine,1977,"2,734,600",
Acadia,National Park,Maine,1978,"2,684,933",
Acadia,National Park,Maine,1979,"2,787,366","395,913"
Acadia,National Park,Maine,1980,"2,779,666","493,429"
Acadia,National Park,Maine,1981,"2,997,972","405,001"
Acadia,National Park,Maine,1982,"3,572,114","183,047"
Acadia,National Park,Maine,1983,"4,124,639","183,024"
Acadia,National Park,Maine,1984,"3,734,763","183,034"
Acadia,National Park,Maine,1985,"3,745,570","183,024"
Acadia,National Park,Maine,1986,"3,929,054","183,024"
Acadia,National Park,Maine,1987,"4,288,154","188,280"
Acadia,National Park,Maine,1988,"4,502,283","188,676"
Acadia,National Park,Maine,1989,"5,440,952","188,676"
Acadia,National Park,Maine,1990,"2,339,591","252,546"
Acadia,National Park,Maine,1991,"2,475,857","252,576"
Acadia,National Park,Maine,1992,"2,382,113","252,576"
Acadia,National Park,Maine,1993,"2,656,034","252,576"
Acadia,National Park,Maine,1994,"2,710,749","252,576"
Acadia,National Park,Maine,1995,"2,845,378","252,576"
Acadia,National Park,Maine,1996,"2,704,831","252,576"
Acadia,National Park,Maine,1997,"2,760,306","252,576"
Acadia,National Park,Maine,1998,"2,594,497","252,576"
Acadia,National Park,Maine,1999,"2,602,227","252,576"
Acadia,National Park,Maine,2000,"2,469,238","252,576"
Acadia,National Park,Maine,2001,"2,516,551","252,576"
Acadia,National Park,Maine,2002,"2,558,572","252,576"
Acadia,National Park,Maine,2003,"2,431,062","34,500"
Acadia,National Park,Maine,2004,"2,207,847","34,500"
Acadia,National Park,Maine,2005,"2,051,484","47,100"
Acadia,National Park,Maine,2006,"2,083,588","47,100"
Acadia,National Park,Maine,2007,"2,202,228","47,100"
Acadia,National Park,Maine,2008,"2,075,857","47,100"
Acadia,National Park,Maine,2009,"2,227,698","47,100"
Acadia,National Park,Maine,2010,"2,504,208","47,100"
Acadia,National Park,Maine,2011,"2,374,645","47,100"
Acadia,National Park,Maine,2012,"2,431,052","47,100"
Acadia,National Park,Maine,2013,"2,254,922","47,100"
Acadia,National Park,Maine,2014,"2,563,129","47,100"
Acadia,National Park,Maine,2015,"2,811,184","47,100"
Acadia,National Park,Maine,2016,"3,303,393","47,100"
Adams,National Historical Park,Massachusetts,1947,873,
Adams,National Historical Park,Massachusetts,1948,"6,116",
Adams,National Historical Park,Massachusetts,1949,"9,003",
Adams,National Historical Park,Massachusetts,1950,"10,594",
Adams,National Historical Park,Massachusetts,1951,"12,234",
Adams,National Historical Park,Massachusetts,1952,"11,348",
Adams,National Historical Park,Massachusetts,1953,"12,326",
Adams,National Historical Park,Massachusetts,1954,"14,600",
Adams,National Historical Park,Massachusetts,1955,"13,900",
Adams,National Historical Park,Massachusetts,1956,"15,000",
Adams,National Historical Park,Massachusetts,1957,"14,100",
Adams,National Historical Park,Massachusetts,1958,"14,100",
Adams,National Historical Park,Massachusetts,1959,"12,700",
Adams,National Historical Park,Massachusetts,1960,"11,800",
Adams,National Historical Park,Massachusetts,1961,"11,600",
Adams,National Historical Park,Massachusetts,1962,"13,300",
Adams,National Historical Park,Massachusetts,1963,"12,800",
Adams,National Historical Park,Massachusetts,1964,"15,100",
Adams,National Historical Park,Massachusetts,1965,"16,900",
Adams,National Historical Park,Massachusetts,1966,"19,500",
Adams,National Historical Park,Massachusetts,1967,"21,600",
Adams,National Historical Park,Massachusetts,1968,"14,900",
Adams,National Historical Park,Massachusetts,1969,"11,800",
Adams,National Historical Park,Massachusetts,1970,"11,900",
Adams,National Historical Park,Massachusetts,1971,"14,500",
Adams,National Historical Park,Massachusetts,1972,"18,086",
Adams,National Historical Park,Massachusetts,1973,"16,100",
Adams,National Historical Park,Massachusetts,1974,"16,500",
Adams,National Historical Park,Massachusetts,1975,"26,400",
Adams,National Historical Park,Massachusetts,1976,"41,800",
Adams,National Historical Park,Massachusetts,1977,"21,900",
Adams,National Historical Park,Massachusetts,1978,"21,433",
Adams,National Historical Park,Massachusetts,1979,"34,322","12,200"
Adams,National Historical Park,Massachusetts,1980,"24,974","12,000"
Adams,National Historical Park,Massachusetts,1981,"27,055","12,000"
Adams,National Historical Park,Massachusetts,1982,"25,440","12,000"
Adams,National Historical Park,Massachusetts,1983,"26,162","12,000"
Adams,National Historical Park,Massachusetts,1984,"23,398","12,000"
Adams,National Historical Park,Massachusetts,1985,"24,555","12,000"
Adams,National Historical Park,Massachusetts,1986,"24,693","9,000"
Adams,National Historical Park,Massachusetts,1987,"25,617","15,160"
Adams,National Historical Park,Massachusetts,1988,"21,617","11,485"
Adams,National Historical Park,Massachusetts,1989,"22,595","17,504"
Adams,National Historical Park,Massachusetts,1990,"20,315","14,987"
Adams,National Historical Park,Massachusetts,1991,"26,958",358
Adams,National Historical Park,Massachusetts,1992,"27,400",982
Adams,National Historical Park,Massachusetts,1993,"43,877",690
Adams,National Historical Park,Massachusetts,1994,"41,179","1,061"
Adams,National Historical Park,Massachusetts,1995,"47,312","1,407"
Adams,National Historical Park,Massachusetts,1996,"38,230","1,305"
Adams,National Historical Park,Massachusetts,1997,"56,643","1,063"
Adams,National Historical Park,Massachusetts,1998,"63,569",947
Adams,National Historical Park,Massachusetts,1999,"84,574",984
Adams,National Historical Park,Massachusetts,2000,"87,347","1,411"
Adams,National Historical Park,Massachusetts,2001,"167,500","2,255"
Adams,National Historical Park,Massachusetts,2002,"173,944","2,946"
Adams,National Historical Park,Massachusetts,2003,"215,659","3,141"
Adams,National Historical Park,Massachusetts,2004,"239,504","2,022"
Adams,National Historical Park,Massachusetts,2005,"220,467","2,439"
Adams,National Historical Park,Massachusetts,2006,"225,318","2,593"
Adams,National Historical Park,Massachusetts,2007,"224,880","2,614"
Adams,National Historical Park,Massachusetts,2008,"241,536","3,598"
Adams,National Historical Park,Massachusetts,2009,"253,656","3,507"
Adams,National Historical Park,Massachusetts,2010,"73,339","1,834"
Adams,National Historical Park,Massachusetts,2011,"219,975","2,475"
Adams,National Historical Park,Massachusetts,2012,"336,031","1,458"
Adams,National Historical Park,Massachusetts,2013,"285,501","1,174"
Adams,National Historical Park,Massachusetts,2014,"178,468","1,194"
Adams,National Historical Park,Massachusetts,2015,"183,632","1,016"
Adams,National Historical Park,Massachusetts,2016,"199,301",947
African Burial Ground,National Monument,New York,2010,"117,113",0
African Burial Ground,National Monument,New York,2011,"108,585",0
African Burial Ground,National Monument,New York,2012,"77,624",0
African Burial Ground,National Monument,New York,2013,"93,234",0
African Burial Ground,National Monument,New York,2014,"54,861",0
African Burial Ground,National Monument,New York,2015,"56,348",0
African Burial Ground,National Monument,New York,2016,"46,526",0
Agate Fossil Beds,National Monument,Nebraska,1968,"3,800",
Agate Fossil Beds,National Monument,Nebraska,1969,"4,100",
Agate Fossil Beds,National Monument,Nebraska,1970,"6,900",
Agate Fossil Beds,National Monument,Nebraska,1971,"9,000",
Agate Fossil Beds,National Monument,Nebraska,1972,"10,793",
Agate Fossil Beds,National Monument,Nebraska,1973,"8,100",
Agate Fossil Beds,National Monument,Nebraska,1974,"9,900",
Agate Fossil Beds,National Monument,Nebraska,1975,"11,000",
Agate Fossil Beds,National Monument,Nebraska,1976,"11,500",
Agate Fossil Beds,National Monument,Nebraska,1977,"11,100",
Agate Fossil Beds,National Monument,Nebraska,1978,"10,739",
Agate Fossil Beds,National Monument,Nebraska,1979,"8,115",31
Agate Fossil Beds,National Monument,Nebraska,1980,"8,330","9,480"
Agate Fossil Beds,National Monument,Nebraska,1981,"9,459","9,551"
Agate Fossil Beds,National Monument,Nebraska,1982,"9,018","8,120"
Agate Fossil Beds,National Monument,Nebraska,1983,"10,097","11,433"
Agate Fossil Beds,National Monument,Nebraska,1984,"10,317","9,949"
Agate Fossil Beds,National Monument,Nebraska,1985,"10,366","9,937"
Agate Fossil Beds,National Monument,Nebraska,1986,"10,187","8,466"
Agate Fossil Beds,National Monument,Nebraska,1987,"11,439","6,554"
Agate Fossil Beds,National Monument,Nebraska,1988,"11,156","7,066"
Agate Fossil Beds,National Monument,Nebraska,1989,"11,459","9,000"
Agate Fossil Beds,National Monument,Nebraska,1990,"14,482","9,000"
Agate Fossil Beds,National Monument,Nebraska,1991,"13,891","9,000"
Agate Fossil Beds,National Monument,Nebraska,1992,"18,785","9,000"
Agate Fossil Beds,National Monument,Nebraska,1993,"19,467","9,000"
Agate Fossil Beds,National Monument,Nebraska,1994,"18,970","9,000"
Agate Fossil Beds,National Monument,Nebraska,1995,"18,719","9,000"
Agate Fossil Beds,National Monument,Nebraska,1996,"16,567","9,000"
Agate Fossil Beds,National Monument,Nebraska,1997,"20,596","9,000"
Agate Fossil Beds,National Monument,Nebraska,1998,"17,594","9,000"
Agate Fossil Beds,National Monument,Nebraska,1999,"18,117",0
Agate Fossil Beds,National Monument,Nebraska,2000,"17,933",0
Agate Fossil Beds,National Monument,Nebraska,2001,"17,399",0
Agate Fossil Beds,National Monument,Nebraska,2002,"17,129",0
Agate Fossil Beds,National Monument,Nebraska,2003,"16,233",0
Agate Fossil Beds,National Monument,Nebraska,2004,"15,235",0
Agate Fossil Beds,National Monument,Nebraska,2005,"14,209",0
Agate Fossil Beds,National Monument,Nebraska,2006,"13,521",0
Agate Fossil Beds,National Monument,Nebraska,2007,"12,997",0
Agate Fossil Beds,National Monument,Nebraska,2008,"12,425",0
Agate Fossil Beds,National Monument,Nebraska,2009,"12,694",0
Agate Fossil Beds,National Monument,Nebraska,2010,"12,509",0
Agate Fossil Beds,National Monument,Nebraska,2011,"11,617",0
Agate Fossil Beds,National Monument,Nebraska,2012,"11,824",0
Agate Fossil Beds,National Monument,Nebraska,2013,"10,504",0
Agate Fossil Beds,National Monument,Nebraska,2014,"12,440",0
Agate Fossil Beds,National Monument,Nebraska,2015,"13,264",0
Agate Fossil Beds,National Monument,Nebraska,2016,"15,555",0
Alibates Flint Quarries,National Monument,Texas,1971,"1,400",
Alibates Flint Quarries,National Monument,Texas,1972,"2,769",
Alibates Flint Quarries,National Monument,Texas,1973,"1,700",
Alibates Flint Quarries,National Monument,Texas,1974,"1,300",
Alibates Flint Quarries,National Monument,Texas,1975,"2,500",
Alibates Flint Quarries,National Monument,Texas,1976,"2,600",
Alibates Flint Quarries,National Monument,Texas,1977,"2,200",
Alibates Flint Quarries,National Monument,Texas,1978,"2,455",
Alibates Flint Quarries,National Monument,Texas,1979,"1,922",0
Alibates Flint Quarries,National Monument,Texas,1980,"2,211",0
Alibates Flint Quarries,National Monument,Texas,1981,"2,384",0
Alibates Flint Quarries,National Monument,Texas,1982,"2,398",0
Alibates Flint Quarries,National Monument,Texas,1983,"1,919",0
Alibates Flint Quarries,National Monument,Texas,1984,"2,251",0
Alibates Flint Quarries,National Monument,Texas,1985,"2,200",0
Alibates Flint Quarries,National Monument,Texas,1986,"2,202",0
Alibates Flint Quarries,National Monument,Texas,1987,"2,494",0
Alibates Flint Quarries,National Monument,Texas,1988,"2,140",0
Alibates Flint Quarries,National Monument,Texas,1989,"3,842",0
Alibates Flint Quarries,National Monument,Texas,1990,"3,418",0
Alibates Flint Quarries,National Monument,Texas,1991,"3,812",0
Alibates Flint Quarries,National Monument,Texas,1992,"3,419",0
Alibates Flint Quarries,National Monument,Texas,1993,"3,155",0
Alibates Flint Quarries,National Monument,Texas,1994,"3,392",0
Alibates Flint Quarries,National Monument,Texas,1995,"2,769",0
Alibates Flint Quarries,National Monument,Texas,1996,"3,276",0
Alibates Flint Quarries,National Monument,Texas,1997,"3,363",0
Alibates Flint Quarries,National Monument,Texas,1998,"3,293",0
Alibates Flint Quarries,National Monument,Texas,1999,"3,047",0
Alibates Flint Quarries,National Monument,Texas,2000,"3,131",0
Alibates Flint Quarries,National Monument,Texas,2001,"2,456",0
Alibates Flint Quarries,National Monument,Texas,2002,"2,125",0
Alibates Flint Quarries,National Monument,Texas,2003,"1,811",0
Alibates Flint Quarries,National Monument,Texas,2004,"2,012",0
Alibates Flint Quarries,National Monument,Texas,2005,"2,919",0
Alibates Flint Quarries,National Monument,Texas,2006,"1,882",0
Alibates Flint Quarries,National Monument,Texas,2007,"4,028",0
Alibates Flint Quarries,National Monument,Texas,2008,"2,297",0
Alibates Flint Quarries,National Monument,Texas,2009,"2,918",0
Alibates Flint Quarries,National Monument,Texas,2010,"4,350",0
Alibates Flint Quarries,National Monument,Texas,2011,"3,214",0
Alibates Flint Quarries,National Monument,Texas,2012,"3,383",0
Alibates Flint Quarries,National Monument,Texas,2013,"1,555",0
Alibates Flint Quarries,National Monument,Texas,2014,"4,513",0
Alibates Flint Quarries,National Monument,Texas,2015,"9,492",0
Alibates Flint Quarries,National Monument,Texas,2016,"8,153",0
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1968,"5,500",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1969,"21,100",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1970,"42,000",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1971,"25,900",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1972,"25,960",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1973,"45,700",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1974,"43,900",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1975,"46,500",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1976,"62,700",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1977,"64,400",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1978,"58,360",
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1979,"58,225",500
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1980,"73,995",519
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1981,"65,557",492
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1982,"60,069",463
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1983,"55,148",540
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1984,"59,635",661
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1985,"69,523",681
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1986,"68,990",666
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1987,"93,289",853
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1988,"123,622","1,112"
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1989,"133,324","1,206"
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1990,"131,735","1,260"
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1991,"154,816","1,500"
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1992,"183,473","1,794"
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1993,"189,009",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1994,"160,394",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1995,"145,307",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1996,"139,446",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1997,"121,841",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1998,"111,100",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,1999,"111,391",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2000,"133,396",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2001,"142,340",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2002,"146,484",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2003,"129,995",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2004,"126,441",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2005,"115,357",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2006,"121,009",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2007,"123,215",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2008,"113,991",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2009,"118,931",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2010,"107,363",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2011,"118,410",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2012,"138,864",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2013,"107,977",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2014,"172,883",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2015,"168,433",180
Allegheny Portage Railroad,National Historic Site,Pennsylvania,2016,"189,371",180
Amistad,National Recreation Area,Texas,1969,"448,000",
Amistad,National Recreation Area,Texas,1970,"678,800",
Amistad,National Recreation Area,Texas,1971,"677,700",
Amistad,National Recreation Area,Texas,1972,"960,058",
Amistad,National Recreation Area,Texas,1973,"960,900",
Amistad,National Recreation Area,Texas,1974,"931,900",
Amistad,National Recreation Area,Texas,1975,"1,035,000",
Amistad,National Recreation Area,Texas,1976,"1,070,400",
Amistad,National Recreation Area,Texas,1977,"979,200",
Amistad,National Recreation Area,Texas,1978,"1,235,118",
Amistad,National Recreation Area,Texas,1979,"1,261,846","28,510"
Amistad,National Recreation Area,Texas,1980,"1,084,689","16,184"
Amistad,National Recreation Area,Texas,1981,"976,414","15,840"
Amistad,National Recreation Area,Texas,1982,"1,259,668","15,840"
Amistad,National Recreation Area,Texas,1983,"1,221,445","5,920"
Amistad,National Recreation Area,Texas,1984,"1,164,338","1,116"
Amistad,National Recreation Area,Texas,1985,"1,139,366","1,128"
Amistad,National Recreation Area,Texas,1986,"1,206,669","1,128"
Amistad,National Recreation Area,Texas,1987,"1,219,967","1,128"
Amistad,National Recreation Area,Texas,1988,"1,284,606","1,128"
Amistad,National Recreation Area,Texas,1989,"1,321,168","1,128"
Amistad,National Recreation Area,Texas,1990,"1,306,474","1,128"
Amistad,National Recreation Area,Texas,1991,"1,215,691","1,128"
Amistad,National Recreation Area,Texas,1992,"1,559,659","1,128"
Amistad,National Recreation Area,Texas,1993,"1,505,084","1,128"
Amistad,National Recreation Area,Texas,1994,"1,591,903","1,128"
Amistad,National Recreation Area,Texas,1995,"1,422,321","1,128"
Amistad,National Recreation Area,Texas,1996,"1,238,990","1,128"
Amistad,National Recreation Area,Texas,1997,"1,084,433","1,128"
Amistad,National Recreation Area,Texas,1998,"1,129,811","1,128"
Amistad,National Recreation Area,Texas,1999,"1,164,166","1,128"
Amistad,National Recreation Area,Texas,2000,"1,234,506","1,128"
Amistad,National Recreation Area,Texas,2001,"1,097,650","1,128"
Amistad,National Recreation Area,Texas,2002,"1,047,784","1,128"
Amistad,National Recreation Area,Texas,2003,"1,071,199","1,128"
Amistad,National Recreation Area,Texas,2004,"1,445,772","1,128"
Amistad,National Recreation Area,Texas,2005,"1,399,852","1,128"
Amistad,National Recreation Area,Texas,2006,"1,599,271","1,128"
Amistad,National Recreation Area,Texas,2007,"1,734,200","1,128"
Amistad,National Recreation Area,Texas,2008,"1,980,717","1,128"
Amistad,National Recreation Area,Texas,2009,"2,573,966","1,128"
Amistad,National Recreation Area,Texas,2010,"1,574,322","1,128"
Amistad,National Recreation Area,Texas,2011,"1,436,759","1,128"
