Points Against	Points	Game	Home/Away	Opponent	Overtime?	Pts Diff	Season	Team
98	144	47	Home	Los Angeles Clippers		46	Regular Season	Warriors
111	113	48	Away	Portland Trail Blazers		2	Regular Season	Warriors
91	107	46	Home	Oklahoma City Thunder		16	Regular Season	Cavaliers
104	97	47	Away	Dallas Mavericks		-7	Regular Season	Cavaliers
97	125	48	Home	Minnesota Timberwolves		28	Regular Season	Cavaliers
111	126	49	Home	Charlotte Hornets		15	Regular Season	Warriors
120	133	50	Away	Los Angeles Clippers		13	Regular Season	Warriors
109	106	51	Away	Sacramento Kings	OT	-3	Regular Season	Warriors
104	111	49	Away	New York Knicks		7	Regular Season	Cavaliers
135	140	50	Away	Washington Wizards	OT	5	Regular Season	Cavaliers
117	132	51	Away	Indiana Pacers		15	Regular Season	Cavaliers
92	123	52	Home	Chicago Bulls		31	Regular Season	Warriors
118	109	52	Away	Oklahoma City Thunder		-9	Regular Season	Cavaliers
107	122	53	Away	Memphis Grizzlies		15	Regular Season	Warriors
114	130	54	Away	Oklahoma City Thunder		16	Regular Season	Warriors
109	125	53	Home	Denver Nuggets		16	Regular Season	Cavaliers
132	110	55	Away	Denver Nuggets		-22	Regular Season	Warriors
108	116	54	Away	Minnesota Timberwolves		8	Regular Season	Cavaliers
104	113	55	Home	Indiana Pacers		9	Regular Season	Cavaliers
86	109	56	Home	Sacramento Kings		23	Regular Season	Warriors
104	119	56	Home	New York Knicks		15	Regular Season	Cavaliers
113	123	57	Home	Los Angeles Clippers		10	Regular Season	Warriors
117	99	57	Home	Chicago Bulls		-18	Regular Season	Cavaliers
95	112	58	Home	Brooklyn Nets		17	Regular Season	Warriors
108	119	59	Away	Philadelphia 76ers		11	Regular Season	Warriors
95	102	58	Home	Milwaukee Bucks		7	Regular Season	Cavaliers
112	108	60	Away	Washington Wizards		-4	Regular Season	Warriors
103	99	59	Away	Boston Celtics		-4	Regular Season	Cavaliers
94	87	61	Away	Chicago Bulls		-7	Regular Season	Warriors
130	135	60	Away	Atlanta Hawks		5	Regular Season	Cavaliers
120	92	61	Away	Miami Heat		-28	Regular Season	Cavaliers
105	112	62	Away	New York Knicks		7	Regular Season	Warriors
111	119	63	Away	Atlanta Hawks		8	Regular Season	Warriors
106	98	62	Home	Miami Heat		-8	Regular Season	Cavaliers
99	86	64	Home	Boston Celtics		-13	Regular Season	Warriors
106	101	63	Away	Detroit Pistons		-5	Regular Season	Cavaliers
103	102	65	Away	Minnesota Timberwolves		-1	Regular Season	Warriors
107	85	66	Away	San Antonio Spurs		-22	Regular Season	Warriors
104	116	64	Away	Orlando Magic		12	Regular Season	Cavaliers
117	112	65	Away	Houston Rockets		-5	Regular Season	Cavaliers
96	128	66	Home	Detroit Pistons		32	Regular Season	Cavaliers
104	106	67	Home	Philadelphia 76ers		2	Regular Season	Warriors
83	91	67	Home	Utah Jazz		8	Regular Season	Cavaliers
92	122	68	Home	Orlando Magic		30	Regular Season	Warriors
108	78	68	Away	Los Angeles Clippers		-30	Regular Season	Cavaliers
92	117	69	Home	Milwaukee Bucks		25	Regular Season	Warriors
120	125	69	Away	Los Angeles Lakers		5	Regular Season	Cavaliers
95	111	70	Away	Oklahoma City Thunder		16	Regular Season	Warriors
87	112	71	Away	Dallas Mavericks		25	Regular Season	Warriors
126	113	70	Away	Denver Nuggets		-13	Regular Season	Cavaliers
105	112	71	Away	Charlotte Hornets		7	Regular Season	Cavaliers
100	114	72	Home	Sacramento Kings		14	Regular Season	Warriors
127	115	72	Home	Washington Wizards		-12	Regular Season	Cavaliers
94	106	73	Home	Memphis Grizzlies		12	Regular Season	Warriors
103	74	73	Away	San Antonio Spurs		-29	Regular Season	Cavaliers
106	113	74	Away	Houston Rockets		7	Regular Season	Warriors
98	110	75	Away	San Antonio Spurs		12	Regular Season	Warriors
99	93	74	Away	Chicago Bulls		-6	Regular Season	Cavaliers
105	122	75	Home	Philadelphia 76ers		17	Regular Season	Cavaliers
98	107	76	Home	Houston Rockets		9	Regular Season	Warriors
130	135	76	Home	Indiana Pacers	2OT	5	Regular Season	Cavaliers
115	139	77	Home	Washington Wizards		24	Regular Season	Warriors
102	122	77	Home	Orlando Magic		20	Regular Season	Cavaliers
107	121	78	Home	Minnesota Timberwolves		14	Regular Season	Warriors
91	114	78	Away	Boston Celtics		23	Regular Season	Cavaliers
111	120	79	Away	Phoenix Suns		9	Regular Season	Warriors
114	100	79	Home	Atlanta Hawks		-14	Regular Season	Cavaliers
101	123	80	Home	New Orleans Pelicans		22	Regular Season	Warriors
126	125	80	Away	Atlanta Hawks	OT	-1	Regular Season	Cavaliers
124	121	81	Away	Miami Heat	OT	-3	Regular Season	Cavaliers
105	99	81	Home	Utah Jazz		-6	Regular Season	Warriors
98	83	82	Home	Toronto Raptors		-15	Regular Season	Cavaliers
94	109	82	Home	Los Angeles Lakers		15	Regular Season	Warriors
108	109	83	Home	Indiana Pacers		1	Playoffs	Cavaliers
109	121	83	Home	Portland Trail Blazers		12	Playoffs	Warriors
111	117	84	Home	Indiana Pacers		6	Playoffs	Cavaliers
81	110	84	Home	Portland Trail Blazers		29	Playoffs	Warriors
114	119	85	Away	Indiana Pacers		5	Playoffs	Cavaliers
113	119	85	Away	Portland Trail Blazers		6	Playoffs	Warriors
102	106	86	Away	Indiana Pacers		4	Playoffs	Cavaliers
103	128	86	Away	Portland Trail Blazers		25	Playoffs	Warriors
105	116	87	Home	Toronto Raptors		11	Playoffs	Cavaliers
94	106	87	Home	Utah Jazz		12	Playoffs	Warriors
103	125	88	Home	Toronto Raptors		22	Playoffs	Cavaliers
104	115	88	Home	Utah Jazz		11	Playoffs	Warriors
94	115	89	Away	Toronto Raptors		21	Playoffs	Cavaliers
91	102	89	Away	Utah Jazz		11	Playoffs	Warriors
102	109	90	Away	Toronto Raptors		7	Playoffs	Cavaliers
95	121	90	Away	Utah Jazz		26	Playoffs	Warriors
111	113	91	Home	San Antonio Spurs		2	Playoffs	Warriors
